,ID_MUNICIP,GRUPO_IDADE,CASOS,VAC,N_VAC,I_VAC,SG_UF_NOT
561,150720,"(19, 29]",14,4.0,9.0,1.0,15
562,150720,"(29, 39]",4,1.0,3.0,0.0,15
563,150720,"(39, 49]",2,0.0,2.0,0.0,15
564,150720,"(69, 79]",1,0.0,1.0,0.0,15
565,150720,"(9, 14]",3,1.0,2.0,0.0,15
566,150720,nan,1,1.0,0.0,0.0,15
567,150747,"(0, 4]",2,0.0,1.0,1.0,15
568,150747,"(14, 19]",2,2.0,0.0,0.0,15
569,150747,"(19, 29]",2,0.0,0.0,2.0,15
570,150747,"(29, 39]",1,1.0,0.0,0.0,15
571,150747,"(39, 49]",1,0.0,0.0,1.0,15
572,150747,"(4, 9]",1,0.0,0.0,1.0,15
573,150750,"(19, 29]",1,0.0,1.0,0.0,15
574,150760,"(0, 4]",1,0.0,1.0,0.0,15
575,150760,"(14, 19]",2,1.0,1.0,0.0,15
576,150760,"(19, 29]",5,1.0,4.0,0.0,15
577,150760,"(29, 39]",1,0.0,1.0,0.0,15
578,150760,"(9, 14]",1,0.0,1.0,0.0,15
579,150770,"(0, 4]",1,1.0,0.0,0.0,15
580,150770,"(14, 19]",7,1.0,5.0,1.0,15
581,150770,"(19, 29]",15,2.0,13.0,0.0,15
582,150770,"(29, 39]",4,0.0,4.0,0.0,15
583,150770,"(39, 49]",1,0.0,1.0,0.0,15
584,150770,"(9, 14]",2,0.0,2.0,0.0,15
585,150780,"(0, 4]",7,1.0,2.0,4.0,15
586,150780,"(14, 19]",3,0.0,1.0,2.0,15
587,150780,"(19, 29]",2,0.0,1.0,1.0,15
588,150780,"(4, 9]",4,0.0,1.0,3.0,15
589,150780,"(9, 14]",3,0.0,1.0,2.0,15
590,150790,"(0, 4]",1,0.0,1.0,0.0,15
591,150790,"(19, 29]",2,0.0,1.0,1.0,15
592,150790,"(29, 39]",1,0.0,0.0,1.0,15
593,150790,"(4, 9]",3,1.0,2.0,0.0,15
594,150790,"(9, 14]",1,1.0,0.0,0.0,15
595,150795,"(0, 4]",29,3.0,26.0,0.0,15
596,150795,"(14, 19]",11,3.0,8.0,0.0,15
597,150795,"(19, 29]",30,2.0,25.0,3.0,15
598,150795,"(29, 39]",9,1.0,8.0,0.0,15
599,150795,"(39, 49]",3,0.0,3.0,0.0,15
600,150795,"(4, 9]",2,0.0,2.0,0.0,15
601,150795,"(49, 59]",3,1.0,2.0,0.0,15
602,150795,"(59, 69]",1,0.0,1.0,0.0,15
603,150796,"(0, 4]",1,0.0,0.0,1.0,15
604,150797,"(14, 19]",1,0.0,0.0,1.0,15
605,150800,"(19, 29]",3,0.0,0.0,3.0,15
606,150800,"(29, 39]",1,1.0,0.0,0.0,15
607,150800,"(4, 9]",1,1.0,0.0,0.0,15
608,150803,"(0, 4]",4,2.0,2.0,0.0,15
609,150803,"(14, 19]",7,1.0,5.0,1.0,15
610,150803,"(19, 29]",3,0.0,3.0,0.0,15
611,150803,"(29, 39]",4,0.0,3.0,1.0,15
612,150803,"(39, 49]",2,1.0,1.0,0.0,15
613,150810,"(0, 4]",3,1.0,2.0,0.0,15
614,150810,"(19, 29]",3,0.0,3.0,0.0,15
615,150812,"(19, 29]",2,0.0,2.0,0.0,15
616,150812,"(4, 9]",1,0.0,1.0,0.0,15
617,150820,"(0, 4]",2,1.0,1.0,0.0,15
618,150820,"(14, 19]",1,0.0,0.0,1.0,15
619,150820,"(19, 29]",2,0.0,2.0,0.0,15
620,150830,"(0, 4]",7,3.0,2.0,2.0,15
621,150830,"(14, 19]",10,4.0,3.0,3.0,15
622,150830,"(19, 29]",23,4.0,10.0,9.0,15
623,150830,"(29, 39]",5,0.0,3.0,2.0,15
624,150830,"(39, 49]",4,0.0,3.0,1.0,15
625,150830,"(4, 9]",1,1.0,0.0,0.0,15
626,150830,"(49, 59]",2,0.0,2.0,0.0,15
627,150830,"(59, 69]",1,1.0,0.0,0.0,15
628,150830,"(9, 14]",4,2.0,2.0,0.0,15
629,150830,nan,1,1.0,0.0,0.0,15
630,160015,"(0, 4]",1,0.0,1.0,0.0,16
631,160015,"(19, 29]",1,1.0,0.0,0.0,16
632,160021,"(0, 4]",1,0.0,1.0,0.0,16
633,160021,"(19, 29]",1,1.0,0.0,0.0,16
634,160023,"(14, 19]",1,0.0,1.0,0.0,16
635,160023,"(19, 29]",1,0.0,1.0,0.0,16
636,160025,"(9, 14]",1,0.0,1.0,0.0,16
637,160030,"(0, 4]",465,40.0,386.0,39.0,16
638,160030,"(14, 19]",32,7.0,18.0,7.0,16
639,160030,"(19, 29]",53,12.0,26.0,15.0,16
640,160030,"(29, 39]",16,1.0,14.0,1.0,16
641,160030,"(39, 49]",3,0.0,2.0,1.0,16
642,160030,"(4, 9]",44,9.0,18.0,17.0,16
643,160030,"(49, 59]",5,0.0,3.0,2.0,16
644,160030,"(79, 120]",1,0.0,1.0,0.0,16
645,160030,"(9, 14]",21,6.0,13.0,2.0,16
646,160030,nan,2,0.0,1.0,1.0,16
647,160040,"(0, 4]",5,1.0,3.0,1.0,16
648,160040,"(14, 19]",1,0.0,1.0,0.0,16
649,160040,"(19, 29]",3,2.0,1.0,0.0,16
650,160040,"(29, 39]",3,1.0,2.0,0.0,16
651,160040,"(9, 14]",1,1.0,0.0,0.0,16
652,160050,"(0, 4]",15,6.0,9.0,0.0,16
653,160050,"(29, 39]",1,0.0,1.0,0.0,16
654,160050,"(39, 49]",1,0.0,1.0,0.0,16
655,160050,"(4, 9]",1,1.0,0.0,0.0,16
