,ID_MUNICIP,"(0, 4]","(14, 19]","(19, 29]","(29, 39]","(39, 49]","(4, 9]","(49, 59]","(59, 69]","(69, 79]","(79, 120]","(9, 14]",TOTAL
568,352030,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
569,352040,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0
570,352044,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
571,352050,22.0,3.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0
572,352090,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
573,352100,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
574,352210,6.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,14.0
575,352220,35.0,14.0,15.0,9.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,80.0
576,352230,11.0,1.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,23.0
577,352240,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
578,352250,30.0,9.0,23.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,71.0
579,352260,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
580,352270,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
581,352280,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
582,352290,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
583,352310,64.0,30.0,64.0,18.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,185.0
584,352340,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0
585,352360,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
586,352380,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
587,352390,26.0,1.0,11.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,44.0
588,352400,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
589,352420,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
590,352430,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0
591,352440,2.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0
592,352470,18.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0
593,352480,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
