"Município";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";" Total"
"120038 PLACIDO DE CASTRO";"0";"9,83";"84,83";"90,09";"96,80";"130,95";"98,65";"110,33";"130,09";"102,27";"104,72";"133,04";"111,50";"103,24";"102,56";"151,56";"94,50";"120,50";"91,61";"67,26";"123,61";"71,15";"62,89";"67,02";"37,29";"97,61"
"120039 PORTO WALTER";"0";"50,00";"142,86";"353,42";"90,57";"79,08";"61,52";"63,69";"80,19";"92,65";"79,47";"80,67";"87,83";"34,13";"88,67";"107,42";"99,29";"92,65";"87,76";"99,56";"73,40";"65,60";"61,11";"72,82";"55,15";"81,79"
"120040 RIO BRANCO";"0";"25,98";"56,84";"92,03";"81,22";"110,21";"101,14";"94,96";"108,49";"106,04";"106,88";"88,88";"115,22";"92,51";"101,29";"105,63";"84,41";"75,22";"74,51";"88,65";"91,08";"66,21";"67,19";"73,93";"58,41";"86,29"
"120042 RODRIGUES ALVES";"0";"20,76";"96,19";"116,40";"128,68";"64,36";"60,67";"100,85";"59,78";"59,80";"77,39";"68,20";"55,33";"63,97";"80,82";"110,51";"74,31";"109,16";"38,93";"46,36";"59,02";"31,42";"24,85";"29,97";"28,06";"66,91"
"120043 SANTA ROSA DO PURUS";"0";"0";"0";"231,43";"317,65";"193,42";"127,42";"75,78";"82,61";"81,15";"64,45";"83,41";"89,10";"99,53";"54,82";"97,30";"110,18";"151,38";"94,48";"142,11";"64,14";"78,79";"64,52";"81,88";"75,36";"98,61"
"120045 SENADOR GUIOMARD";"0";"15,36";"88,40";"192,54";"245,26";"298,62";"123,43";"157,71";"186,27";"139,06";"134,64";"144,41";"104,19";"189,66";"149,32";"84,09";"64,45";"57,96";"66,37";"77,07";"100,25";"32,91";"29,50";"65,09";"42,94";"111,03"
"120050 SENA MADUREIRA";"0";"35,22";"53,77";"155,91";"76,97";"83,08";"74,11";"66,88";"79,13";"73,74";"97,48";"85,94";"100,87";"90,49";"78,50";"84,03";"85,97";"79,49";"83,25";"106,82";"101,92";"95,13";"89,19";"112,72";"86,75";"85,52"
"120060 TARAUACA";"0";"31,13";"198,05";"112,27";"88,71";"115,66";"72,66";"57,97";"159,48";"70,39";"86,11";"73,42";"103,63";"78,19";"93,63";"111,40";"101,24";"71,93";"84,21";"73,69";"80,48";"35,69";"46,63";"47,29";"29,79";"81,57"
"120070 XAPURI";"0";"3,31";"59,67";"71,81";"96,98";"148,89";"76,94";"80,92";"212,89";"107,22";"146,46";"137,71";"101,68";"101,35";"96,65";"93,25";"106,80";"81,37";"88,56";"84,45";"80,98";"56,39";"51,85";"75,32";"88,24";"91,50"
"120080 PORTO ACRE";"0";"127,42";"488,71";"345,33";"318,49";"251,63";"181,90";"184,24";"121,72";"82,73";"90,56";"89,97";"60,47";"60,47";"92,48";"97,68";"74,86";"58,31";"72,21";"83,10";"67,44";"36,98";"38,26";"77,56";"87,76";"97,02"
